pulse_index,start_ms,end_ms,duration_ms,anchor_ms,peak_ms,peak_adc,mean_adc,baseline_adc,threshold_adc,sample_count,op598_detected
46,91415.103,91450.859,35.755999999993946,91426.722,91426.722,4095,2468.7533333333336,2453.4780357246755,3274.2390178623377,300,True
47,93450.887,93486.706,35.81900000000314,93455.127,93455.127,4095,2476.589090909091,2453.4780357246755,3274.2390178623377,275,True
48,95316.713,95346.716,30.002999999996973,95316.713,95321.071,4095,2474.9545454545455,2453.4780357246755,3274.2390178623377,286,True
49,97252.574,97290.836,38.262000000002445,97266.725,97266.725,4095,2448.171339563863,2453.4780357246755,3274.2390178623377,321,True
50,99436.716,99465.039,28.323000000003958,99441.024,99441.024,4095,2499.133079847909,2453.4780357246755,3274.2390178623377,263,True
51,101246.709,101270.929,24.220000000001164,101251.088,101251.088,4095,2474.721153846154,2453.4780357246755,3274.2390178623377,312,True
52,103416.709,103445.159,28.44999999999709,103416.709,103416.709,4095,2486.8506493506493,2453.4780357246755,3274.2390178623377,308,True
53,105560.996,105596.714,35.71800000000803,105565.371,105565.371,4095,2479.4645161290323,2453.4780357246755,3274.2390178623377,310,True
54,107715.259,107750.948,35.68899999999849,107726.727,107726.727,4095,2490.6062717770033,2453.4780357246755,3274.2390178623377,287,True
55,109711.156,109746.713,35.5570000000007,109726.717,109726.717,4095,2475.23642172524,2453.4780357246755,3274.2390178623377,313,True
56,111891.159,111926.705,35.546000000002095,111891.159,111906.713,4095,2482.0376712328766,2453.4780357246755,3274.2390178623377,292,True
57,113925.435,113961.033,35.59799999999814,113925.435,113936.73,4095,2487.3939393939395,2453.4780357246755,3274.2390178623377,297,True
58,115996.718,116026.705,29.987000000008265,116001.138,116001.138,4095,2511.112244897959,2453.4780357246755,3274.2390178623377,294,True
59,118041.214,118075.136,33.921999999991385,118045.819,118045.819,4095,3032.2083333333335,2453.4780357246755,3274.2390178623377,24,True
